check,check_name,severity,package,state_before,state_after,evidence_before
C5,Package identity mismatch,BLOCK,gen-g953-channel-icon-delivery-spec-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-wvf98na3"", ""previous_sha256"": ""ba6cbee64779058a004522b59d51e229cbdfda6307fe02294c939290b92d6c21"", ""released_sha256"": ""6d4c3"
C5,Package identity mismatch,BLOCK,gen-g958-monogram-trademark-priority-deadline-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-6m7xw6tv"", ""previous_sha256"": ""81ba23c72595842d58feec9d2b280dac3414379c19c43cae2693a2b7a6afe28d"", ""released_sha256"": ""fb0d5"
C5,Package identity mismatch,BLOCK,gen-g960-nonprofit-tradeshow-asset-sourcing-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-9dn508it"", ""previous_sha256"": ""60e38f6414f36e22869ccb574b0eeada5ade5110b41f9ac21c30c562ca83bad8"", ""released_sha256"": ""4a2e8"
C5,Package identity mismatch,BLOCK,gen-g972-franchise-signage-brandmark-recreation-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-8jsgpxhw"", ""previous_sha256"": ""e80f137ecadc77c55f78e3df181c965871e10d43df5d84d65f08c6fa190f2555"", ""released_sha256"": ""3e251"
C5,Package identity mismatch,BLOCK,harbor-single-task-ibh1b75q,FAIL,PASS,"{""renamed_to"": ""code-c14-pii-redaction-fix"", ""previous_sha256"": ""8864bdb45e4916f4d96a7a968b777545f84f643a94c89cad903529c4714da0bf"", ""released_sha256"": ""75b02acb"
C5,Package identity mismatch,BLOCK,harbor-single-task-t8rwovcc,FAIL,PASS,"{""renamed_to"": ""ephyra-slow-lane-delayed-merge-audit"", ""previous_sha256"": ""3cd8e89e37b37b5b597e537106fb84b6d0a5032655af9f5af322e32aa90512bc"", ""released_sha256"":"
C5,Package identity mismatch,BLOCK,law-l83-cost-bill-recoverability-audit,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-wmtjlbe6"", ""previous_sha256"": ""5d1c95a1fc7e31b88ebb369efae4b1faf1346bf6f5dd2f15d981c9bb3aee4f30"", ""released_sha256"": ""839f5"
C5,Package identity mismatch,BLOCK,which-bug-tickets-went-cold,FAIL,PASS,"{""renamed_from"": ""harbor-single-task-f9w4ghvz"", ""previous_sha256"": ""db361efceabd7d92fe7d0761e3e92efcfb227c6208e2256570d2e0b95f72e063"", ""released_sha256"": ""475b5"
C6,Documentation contradicts packaged evidence,BLOCK,code-c221-api-auth-method-compliance-audit,FAIL,PASS,"{""review.csv"": ""reconciled to 1/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,gen-g565-channel-publishing-settings-audit,FAIL,PASS,"{""review.csv"": ""reconciled to 2/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,gen-g592-sop-review-cycle-compliance-audit,FAIL,PASS,"{""qc_report.html"": ""reconciled to 3/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,gen-g644-handbook-revision-rollout-audit,FAIL,PASS,"{""README.md"": ""reconciled to 2/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,gen-g678-merch-sales-report-integrity-audit,FAIL,PASS,"{""review.csv"": ""reconciled to 2/4"", ""README.md"": ""reconciled to 2/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,health-h71-dermatology-lesion-referral-audit,FAIL,PASS,review_csv_pass_rate=1
C6,Documentation contradicts packaged evidence,BLOCK,opened-files-migration-volume-signoff,FAIL,PASS,review_csv_pass_rate=1
C6,Documentation contradicts packaged evidence,BLOCK,opened-files-migration-volume-signoff-realdocoutput,FAIL,PASS,"{""review.csv"": ""reconciled to 2/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,relay-only-correspondents-cutover-exposure,FAIL,PASS,review_csv_pass_rate=1
C6,Documentation contradicts packaged evidence,BLOCK,rsvp-silence-backlog-among-2026-regulars,FAIL,PASS,review_csv_pass_rate=1
C6,Documentation contradicts packaged evidence,BLOCK,tag-estate-grade-versus-status-split,FAIL,PASS,"{""review.csv"": ""reconciled to 3/4"", ""qc_report.html"": ""reconciled to 3/4""}"
C6,Documentation contradicts packaged evidence,BLOCK,unanswered-invitation-silence-audit,FAIL,PASS,review_csv_pass_rate=1
C6,Documentation contradicts packaged evidence,BLOCK,verify-duplicate-825-card-holds-and-300-hold-on-account-before-tp-reve,FAIL,PASS,"{""review.csv"": ""reconciled to 2/4""}"
C7,Missing package documentation,WARN,code-c418-territory-event-calendar-coverage-audit,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1354, ""previous_sha256"": ""e04d1d31373b36610b391848e8c089161aea1a822ef614f4fe8823bc1bb4ea8c"", ""released_sha256"": ""d346ef454cfc17e"
C7,Missing package documentation,WARN,code-c502-opportunity-cosell-split-agreement-audit,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1364, ""previous_sha256"": ""1cd6faed549600f3291c1a72390955301f83645ee825af778dfbbe04bbae73fd"", ""released_sha256"": ""f1ca41bc6e38607"
C7,Missing package documentation,WARN,gen-g1217-thought-leadership-post-scope-style-audit,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1318}"
C7,Missing package documentation,WARN,gen-g565-channel-publishing-settings-audit,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1331}"
C7,Missing package documentation,WARN,how-much-of-my-drive-is-link-only,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1334, ""previous_sha256"": ""1f7c24b53562b4eba6ea8fa8fe34a53de156ff299f69e477224185a8539b4849"", ""released_sha256"": ""80ea58a9b5bad5b"
C7,Missing package documentation,WARN,how-much-of-my-drive-is-link-only-realdocoutput,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1333}"
C7,Missing package documentation,WARN,law-l29-survival-periods,FAIL,PASS,"{""added"": ""README.md"", ""bytes"": 1290, ""previous_sha256"": ""986cd947c6ac7595bf2de49a41487b0699be676bc69a512ca4e733b9876360af"", ""released_sha256"": ""9567e8a131e4d83"
C8,Non-task artefact,BLOCK,gen-g1202-content-repurposing-coverage-audit,FAIL,PASS,32 artefact file(s)
C9,Verifier documentation mismatch,WARN,health-h66-cme-reference-currency-gap-audit,FAIL,PASS,"[""audit_exists: reference_audit.csv -> reference_audit.xlsx"", ""memo_exists: reference_memo.md -> reference_memo.docx""]"
